Version_ID,VersionNumber,MobileOS,Size,ProductLink,WhatsNew,VersionDate,Product_ID
1,1.1.0,Android,5.84,galaxy/filesystem/product/1/1.1.0,original app,2009-01-26,1
2,1.1.31,Android,63.23,galaxy/filesystem/product/16/1.1.31,bug fixes,2009-01-26,16
3,1.1.1,Android,6.2,galaxy/filesystem/product/1/1.1.1,bug fixes,2009-03-24,1
4,4.1,All Platforms,71.63,galaxy/filesystem/product/25/4.1,original version,2009-03-24,25
5,2.1.0,IOS,3.4,galaxy/filesystem/product/1/2.1.0,original app,2009-04-21,1
6,4.1,All Platforms,73.56,galaxy/filesystem/product/28/4.1,original version,2009-04-21,28
7,2.1.2,IOS,3.6,galaxy/filesystem/product/1/2.1.2,bug fixes,2009-04-29,1
8,4.1,All Platforms,76.79,galaxy/filesystem/product/33/4.1,original version,2009-04-29,33
9,3.1.0,WindowsPhone,8.6,galaxy/filesystem/product/1/3.1.0,original app,2009-06-11,1
10,4.1,All Platforms,80.02,galaxy/filesystem/product/38/4.1,original version,2009-06-11,38
11,3.1.1,WindowsPhone,8.88,galaxy/filesystem/product/1/3.1.1,bug fixes,2009-07-16,1
12,1.1.2,Android,8.35,galaxy/filesystem/product/2/1.1.2,original app,2009-08-15,2
13,1.1.3,Android,8.99,galaxy/filesystem/product/2/1.1.3,bug fixes,2009-08-26,2
14,2.1.4,IOS,9.64,galaxy/filesystem/product/2/2.1.4,original app,2009-09-30,2
15,2.1.6,IOS,10.28,galaxy/filesystem/product/2/2.1.6,bug fixes,2009-10-09,2
16,3.1.2,WindowsPhone,10.93,galaxy/filesystem/product/2/3.1.2,original app,2009-10-27,2
17,3.1.3,WindowsPhone,11.58,galaxy/filesystem/product/2/3.1.3,bug fixes,2009-11-20,2
18,1.1.4,Android,12.22,galaxy/filesystem/product/3/1.1.4,original app,2009-12-14,3
19,1.1.5,Android,12.87,galaxy/filesystem/product/3/1.1.5,bug fixes,2009-12-21,3
20,2.1.8,IOS,13.51,galaxy/filesystem/product/3/2.1.8,original app,2009-12-25,3
21,2.1.10,IOS,14.16,galaxy/filesystem/product/3/2.1.10,bug fixes,2009-12-27,3
22,3.1.4,WindowsPhone,14.8,galaxy/filesystem/product/3/3.1.4,original app,2010-01-14,3
23,3.1.5,WindowsPhone,15.45,galaxy/filesystem/product/3/3.1.5,bug fixes,2010-02-15,3
24,2.1.62,IOS,64.52,galaxy/filesystem/product/16/2.1.62,bug fixes,2010-02-15,16
25,1.1.6,Android,16.1,galaxy/filesystem/product/4/1.1.6,original app,2010-03-14,4
26,4.1,All Platforms,68.4,galaxy/filesystem/product/20/4.1,original version,2010-03-14,20
27,1.1.7,Android,16.74,galaxy/filesystem/product/4/1.1.7,bug fixes,2010-03-21,4
28,4.1,All Platforms,70.34,galaxy/filesystem/product/23/4.1,original version,2010-03-21,23
29,2.1.12,IOS,17.39,galaxy/filesystem/product/4/2.1.12,original app,2010-04-27,4
30,4.1,All Platforms,74.86,galaxy/filesystem/product/30/4.1,original version,2010-04-27,30
31,2.1.14,IOS,18.03,galaxy/filesystem/product/4/2.1.14,bug fixes,2010-05-02,4
32,4.1,All Platforms,77.44,galaxy/filesystem/product/34/4.1,original version,2010-05-02,34
33,3.1.6,WindowsPhone,18.68,galaxy/filesystem/product/4/3.1.6,original app,2010-07-17,4
34,3.1.7,WindowsPhone,19.32,galaxy/filesystem/product/4/3.1.7,bug fixes,2010-09-11,4
35,1.1.8,Android,19.97,galaxy/filesystem/product/5/1.1.8,original app,2010-09-24,5
36,1.1.9,Android,20.62,galaxy/filesystem/product/5/1.1.9,bug fixes,2010-10-03,5
37,2.1.16,IOS,21.26,galaxy/filesystem/product/5/2.1.16,original app,2010-10-17,5
38,2.1.18,IOS,21.91,galaxy/filesystem/product/5/2.1.18,bug fixes,2010-11-01,5
39,3.1.8,WindowsPhone,22.55,galaxy/filesystem/product/5/3.1.8,original app,2010-11-10,5
40,3.1.9,WindowsPhone,23.2,galaxy/filesystem/product/5/3.1.9,bug fixes,2010-12-20,5
41,1.1.10,Android,23.84,galaxy/filesystem/product/6/1.1.10,original app,2010-12-30,6
42,1.1.11,Android,24.49,galaxy/filesystem/product/6/1.1.11,bug fixes,2011-03-02,6
43,3.1.31,WindowsPhone,65.82,galaxy/filesystem/product/16/3.1.31,bug fixes,2011-03-02,16
44,2.1.20,IOS,25.14,galaxy/filesystem/product/6/2.1.20,original app,2011-03-06,6
45,4.1,All Platforms,66.46,galaxy/filesystem/product/17/4.1,original version,2011-03-06,17
46,2.1.22,IOS,25.78,galaxy/filesystem/product/6/2.1.22,bug fixes,2011-03-16,6
47,4.1,All Platforms,69.04,galaxy/filesystem/product/21/4.1,original version,2011-03-16,21
48,3.1.10,WindowsPhone,26.43,galaxy/filesystem/product/6/3.1.10,original app,2011-04-28,6
49,4.1,All Platforms,76.15,galaxy/filesystem/product/32/4.1,original version,2011-04-28,32
50,3.1.11,WindowsPhone,27.07,galaxy/filesystem/product/6/3.1.11,bug fixes,2011-07-12,6
51,1.1.12,Android,27.72,galaxy/filesystem/product/7/1.1.12,original app,2011-07-15,7
52,1.1.13,Android,28.36,galaxy/filesystem/product/7/1.1.13,bug fixes,2011-07-19,7
